question,long_answer,short_answers
what do the 3 dots mean in math,N/A,['N/A']
when was the writ watch invented by who,N/A,['N/A']
who wrote the song photograph by ringo starr,N/A,['N/A']
who is playing the halftime show at super bowl 2016,N/A,['N/A']
star wars the clone wars anakin voice actor,N/A,['N/A']
meaning behind the song whiter shade of pale,N/A,['N/A']
where is most distortion found on a globe,N/A,['N/A']
to aru kagaku no railgun s episode 3,N/A,['N/A']
when do new chapters of owari no seraph come out,N/A,['N/A']
where does the last name painter come from,N/A,['N/A']
dominant alleles are always the most common allele in a population,N/A,['N/A']
an eastern red cedar is a hardwood or softwood,N/A,['N/A']
what are the challenges faced by the cotton textile industry of ahmedabad,N/A,['N/A']
who won the 2017 sports personality of the year,N/A,['N/A']
i got the joy joy joy down in my heart lyrics,N/A,['N/A']
is there a basketball team in las vegas,N/A,['N/A']
who lives in the grounds of windsor castle,N/A,['N/A']
list of environmentally critical areas in the philippines,N/A,['N/A']
after the bath woman drying herself elements of design,N/A,['N/A']
what’s the difference between downhill and super g,N/A,['N/A']
where was the world economic forum held this year,N/A,['N/A']
where are the giant redwoods located in california,N/A,['N/A']
who has made the most premier league appearances,N/A,['N/A']
who was the first chief minister of west bengal,N/A,['N/A']
who sings got my mind set on you,N/A,['N/A']
two main types of research methods used in psychology,N/A,['N/A']
i only have eyes for you buffy episode,N/A,['N/A']
who plays peter in what we do in the shadows,N/A,['N/A']
who was the chief guest of india on independence day 2017,N/A,['N/A']
when does the 14th season of grey's anatomy come out,N/A,['N/A']
when was the first hunger games book published,N/A,['N/A']
the ocen at the end of the lane,N/A,['N/A']
sherlock holmes hound of the baskervilles movie 2002,N/A,['N/A']
which of the below feature makes the ram not suitable for the persistent storage,N/A,['N/A']
keith jarrett's long as you know you're living yours,N/A,['N/A']
mandatory elements in the definition of an adverse event (ae),N/A,['N/A']
how much is the united states in debt to china,N/A,['N/A']
where did the race in grease take place,N/A,['N/A']
what is the maximum data rate for the 802.11a standard select one,N/A,['N/A']
use partial charges to indicate all polar bonds in the following molecules,N/A,['N/A']
what is the life cycle of a centipede,N/A,['N/A']
where are the summer olympics held this year,N/A,['N/A']
which is the nearest country north of egypt,N/A,['N/A']
a good that can be used in place of another good,N/A,['N/A']
where in the bible can i find the lord's prayer,N/A,['N/A']
what is the un declaration on the rights of indigenous peoples,N/A,['N/A']
when was the last time nebraska voted democrat,N/A,['N/A']
what is selena gomez most popular tv show,N/A,['N/A']
who become the ceo of it wipro company in 2016,N/A,['N/A']
4 types of brain wave classifications as recognized by an eeg machine,N/A,['N/A']
when do they announce the next winter olympics,N/A,['N/A']
when was each region added to the united states,N/A,['N/A']
who does eric end up with in gossip girl,N/A,['N/A']
who plays unis in she's the man,N/A,['N/A']
saint etienne you need a mess of help to stand alone,N/A,['N/A']
who played booster in jingle all the way,N/A,['N/A']
what does left and right mean in nz politics,N/A,['N/A']
season 10 of comedians in cars getting coffee,N/A,['N/A']
where does the term dog and pony show come from,N/A,['N/A']
who is recognized as the founder of islam,N/A,['N/A']
where is cars 3 supposed to take place,N/A,['N/A']
each dot that makes up a satellite image is called a pixel. true or false,N/A,['N/A']
who plays emma in air bud world pup,N/A,['N/A']
why do tokyo and kyoto have the same letters,N/A,['N/A']
how old was sasuke when his clan died,N/A,['N/A']
how long is training camp for nfl players,N/A,['N/A']
the last speaker of the national assembly during ayub’s government was,N/A,['N/A']
where do some of the natural air pollutants come from,N/A,['N/A']
who is the pastor of new birth missionary baptist church now,N/A,['N/A']
what's the difference between commonwealth and territory,N/A,['N/A']
what are the different types of mountain biking,N/A,['N/A']
how much canadian tire money do you get,N/A,['N/A']
what is the origin of the name dara,N/A,['N/A']
who is doing 2018 super bowl half time show,N/A,['N/A']
who is playing the halftime show for the superbowl,N/A,['N/A']
collection of all types of documents used in the banks and office definition,N/A,['N/A']
who is the national artist for visual who was conferred and died of the same year 1999,N/A,['N/A']
who hosted they think it's all over,N/A,['N/A']
where does the movie proof of life take place,N/A,['N/A']
where did the saying monkey's uncle come from,N/A,['N/A']
who breaks a tie in the us senate,N/A,['N/A']
robin and the 7 hoods mr booze scene,N/A,['N/A']
derived s.i. unit of joule (j) in terms of fundamental units,N/A,['N/A']
where was the movie coming to america shot,N/A,['N/A']
where does us highway 1 start and end,N/A,['N/A']
who played in charlie's angels full throttle,N/A,['N/A']
who scored the most points in a single game in the nba,N/A,['N/A']
where is natural gas found in the us,N/A,['N/A']
when were the first general elections held in independent india,N/A,['N/A']
what was the tower of london originally used for,N/A,['N/A']
stoneman douglas high school in parkland florida demographics,N/A,['N/A']
what type of fuel goes in a zippo,N/A,['N/A']
first jnanpith award was an autor of which language,N/A,['N/A']
what happened to the son in war of the worlds,N/A,['N/A']
who played scotty in the new star trek movie,N/A,['N/A']
who played the agent in i can only imagine,N/A,['N/A']
who played the mad hatter in the batman tv show,N/A,['N/A']
hey buddy how can i get this car out of second gear,N/A,['N/A']
how many cracker barrels in the united states,N/A,['N/A']
in photosynthesis the carbon in co2 is initially fixed to what molecule,N/A,['N/A']
who voices randy in f is for family,N/A,['N/A']
you are the apple of my eye poster,N/A,['N/A']
who played the ice cream man in this is us,N/A,['N/A']
how many countries does cadbury sell its products,N/A,['N/A']
who is playing in the western conference finals,N/A,['N/A']
what does it mean to dream about waking up,N/A,['N/A']
ethiopia flight 961 crashes in to the sea,N/A,['N/A']
what does istj mean in a personality test,N/A,['N/A']
who plays the ex girlfriend on ap bio,N/A,['N/A']
where is the vertebral column located in the human body,N/A,['N/A']
where does the term skin in the game come from,N/A,['N/A']
where is mount st. helens located on a map,N/A,['N/A']
when was the great wall of cina built,N/A,['N/A']
extinction can be the result of habitat fragmentation,N/A,['N/A']
if you live by the sword you die by the sword lyrics,N/A,['N/A']
where did the last name weaver come from,N/A,['N/A']
list five types of public lands in the united states,N/A,['N/A']
who does the voice of ash in sing,N/A,['N/A']
after wwi some colonies that had participated made demands for independence primarily because,N/A,['N/A']
facts about the loma prieta earthquake of 1989,N/A,['N/A']
who scored the most points in their nba career,N/A,['N/A']
when did the 49ers last won a superbowl,N/A,['N/A']
with a land area of 54 314 square miles where does wisconsin rank among the 50 states,N/A,['N/A']
where does the mary river start and finish,N/A,['N/A']
who sang mary's boy child in 1957 and 1978,N/A,['N/A']
who plays charles on have and have nots,N/A,['N/A']
where is nathan's hotdog eating contest held,N/A,['N/A']
who wrote the book my country my life,N/A,['N/A']
what does it mean to be on parole,N/A,['N/A']
when did the east india company take control of india,N/A,['N/A']
the origins of the stations of the cross,N/A,['N/A']
where does the water come from to fill lake eyre,N/A,['N/A']
is area code 808 a toll free number,N/A,['N/A']
who is the founder of google and when was it founded,N/A,['N/A']
the tabula rasa concept is consistent with the perspective of language development,N/A,['N/A']
who did the dominican republic gain its independence from,N/A,['N/A']
how did early humans make use of stones during the prehistoric period,N/A,['N/A']
who wrote the text for jeanie with the light brown hair,N/A,['N/A']
who does stefan end up with in the vampire diaries,N/A,['N/A']
who owns the washington post and new york times,N/A,['N/A']
how many types of bed sizes are there,N/A,['N/A']
who were the troubadours and what did they do,N/A,['N/A']
the basic steps of rational decision making include defining goals and,N/A,['N/A']
when was the design period known as art deco,N/A,['N/A']
where does the bob and tom show broadcast from,N/A,['N/A']
star wars the clone wars season 3 episode 1,N/A,['N/A']
what part of brain is responsible for complex thinking,N/A,['N/A']
who won the champions league final in 2016,N/A,['N/A']
what is the federal long term capital gains tax rate for 2017,N/A,['N/A']
who played the girl in the pit in silence of the lambs,N/A,['N/A']
who has the most gold medals in the winter olympics of all time,N/A,['N/A']
where was the movie strangers prey at night filmed,N/A,['N/A']
what effect do the atlas mountains have on rainfall,N/A,['N/A']
what order do the captain america movies go in,N/A,['N/A']
when does a limit of a function not exist,N/A,['N/A']
when was i don't like mondays released,N/A,['N/A']
if a star is class b what is its temperature,N/A,['N/A']
what ps3 games are compatible with remote play,N/A,['N/A']
pictures of the cast of revenge of the nerds,N/A,['N/A']
what do the economic systems of the uk germany and russia have in common,N/A,['N/A']
what does the sun represent on the uruguay flag,N/A,['N/A']
who dies in season 2 of the originals,N/A,['N/A']
pizza is defined as a vegetable in the united states,N/A,['N/A']
when did beryl markham fly across the atlantic,N/A,['N/A']
what are the states through which the tropic of cancer passes,N/A,['N/A']
who played john clark sr on nypd blue,N/A,['N/A']
what does the pearl symbolize in the bible,N/A,['N/A']
where is mom and dad or where are mom and dad,N/A,['N/A']
when did the song here comes the boom come out,N/A,['N/A']
does archie end up with betty or veronica in riverdale,N/A,['N/A']
what is the difference between a chevy 2 bolt main and a 4 bolt main,N/A,['N/A']
who wrote most of the declaration of independance,N/A,['N/A']
when did african isolation from the european old world occur,N/A,['N/A']
who does brant daugherty play in pretty little liars,N/A,['N/A']
how does the power of judicial review check the legislative and executive branches,N/A,['N/A']
who is the choreographer for strictly come dancing,N/A,['N/A']
pictures of the green room in the white house,N/A,['N/A']
who explained the workings of the human body,N/A,['N/A']
who played amy grant i i can only imagine,N/A,['N/A']
art of learning from text objects or speech,N/A,['N/A']
india gdp growth rate in last 10 years,N/A,['N/A']
the climate of the united states can be best described as,N/A,['N/A']
does a south african passport need a visa for singapore,N/A,['N/A']
who played the villain in tiger zinda hai,N/A,['N/A']
